Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Total
China,1980,15.5,28.700001,50.700001,5.0999999
China,1981,15.7,29,51.200001,5.1999998
China,1982,16,29.299999,51.700001,5.3000002
China,1983,16.200001,29.6,52.200001,5.4000001
China,1984,16.5,29.799999,52.599998,5.4000001
China,1985,16.799999,29.700001,52.700001,5.3000002
China,1986,17.200001,29.6,52.599998,5.0999999
China,1987,17.4,29.5,52.599998,4.9000001
China,1988,17.700001,29.299999,52.5,4.6999998
China,1989,17.9,29.200001,52.5,4.5
China,1990,18,29.1,52.5,4.3000002
China,1991,18.1,29.1,52.599998,4.1999998
China,1992,18.200001,29.200001,52.900002,4.0999999
China,1993,18.200001,29.299999,53.200001,4
China,1994,18.200001,29.4,53.599998,3.8
China,1995,18.200001,29.5,53.900002,3.7
China,1996,18.200001,29.6,54.200001,3.7
China,1997,18.5,29.299999,53.599998,3.5999999
China,1998,18.799999,28.799999,52.799999,3.5
China,1999,19.200001,28.200001,51.799999,3.4000001
China,2000,19.700001,27.299999,50.200001,3.2
China,2001,20.299999,26.4,48.700001,2.9000001
China,2002,20.799999,25.6,47.299999,2.7
China,2003,21.1,25,46.400002,2.5
China,2004,21.200001,24.6,45.799999,2.4000001
China,2005,21.5,24.299999,45.200001,2.2
China,2006,21.799999,24,44.700001,2.0999999
China,2007,22.1,23.799999,44.400002,2
China,2008,22.200001,23.799999,44.400002,2
China,2009,22.200001,23.9,44.700001,2
China,2010,22.299999,24.200001,45.200001,2.0999999
China,2011,22.299999,24.5,45.799999,2.0999999
China,2012,22.299999,24.9,46.5,2.2
India,1980,11.6,17.6,31.4,2.5999999
India,1981,11.8,17.6,31.4,2.5999999
India,1982,12,17.6,31.5,2.5999999
India,1983,12.1,17.6,31.5,2.5999999
India,1984,12.2,17.6,31.5,2.5999999
India,1985,12.2,17.6,31.5,2.5999999
India,1986,12.3,17.6,31.5,2.5999999
India,1987,12.3,17.6,31.5,2.5
India,1988,12.3,17.5,31.4,2.5
India,1989,12.3,17.5,31.4,2.5
India,1990,12.2,17.4,31.200001,2.5
India,1991,12.1,17.299999,31.1,2.4000001
India,1992,12,17.200001,31,2.4000001
India,1993,11.9,17.1,30.799999,2.4000001
India,1994,11.7,16.9,30.5,2.4000001
India,1995,11.6,16.799999,30.200001,2.4000001
India,1996,11.4,16.6,30,2.4000001
India,1997,11.2,16.5,29.6,2.4000001
India,1998,10.9,16.299999,29.299999,2.4000001
India,1999,10.7,16.200001,29.1,2.4000001
India,2000,10.4,16.1,28.799999,2.5
India,2001,10.1,15.9,28.5,2.5999999
India,2002,9.8000002,15.8,28.200001,2.5999999
India,2003,9.5,15.6,27.799999,2.7
India,2004,9.3000002,15.4,27.299999,2.8
India,2005,9.1999998,15,26.6,2.8
India,2006,9,14.6,25.700001,2.8
India,2007,9.1000004,13.9,24.5,2.8
India,2008,9.1000004,13.3,23.200001,2.8
India,2009,9.1000004,12.8,22.200001,2.8
India,2010,8.8999996,12.6,21.9,2.8
India,2011,8.6000004,12.6,21.799999,2.8
India,2012,8.1999998,12.6,21.9,2.9000001
Pakistan,1980,18.200001,20.1,33,5.5
Pakistan,1981,18.200001,20,32.900002,5.5
Pakistan,1982,18.200001,19.9,32.799999,5.5
